structure_id,bridge_no,latitude,longitude
0015137A,82/112,46.63288822,120.5203049
0001583A,82/114N,46.63105488,120.5168327
0006123B,82/114S,46.63140211,120.5180243
0001583B,82/115N,46.63022711,120.5154028
0006123C,82/115S,46.63004933,120.5160333
0015137E,82/116S,46.62786044,120.5124722
0006195A,82/117S,46.62769377,120.5116667
0015137J,82/117W-S,46.62489655,120.5113667
0008846F,82/118W-S,46.62638822,120.5066944
00200130,82/119.25,46.62247155,120.4999719
00200511,82/12.25S,46.91344444,120.4771854
0006195C,82/120N,46.62127711,120.4973052
0006195B,82/120S,46.621166,120.4975274
0006615B,82/121N,46.61540555,120.4922274
0014584A,82/121N-W,46.606,120.4874163
0006615A,82/121S,46.61538888,120.4921941
0006967A,82/122N-W,46.60594444,120.4859163
0006744A,82/123,46.60516666,120.4863886
0014584B,82/123A,46.60516666,120.4878886
0006967B,82/123N-W,46.60486111,120.4847774
0006967D,82/124N,46.59772188,120.4795271
0006967C,82/124S,46.59761077,120.4794716
0017858B,82/128N,46.56316666,120.4719716
0017858A,82/128S,46.56316666,120.4723604
00200033,82/129C,46.53788855,120.4714716
0007949A,82/130W-N,46.53638855,120.4710271
0007949B,82/131N,46.53161044,120.4713604
0007949C,82/131S,46.531416,120.4717216
00200455,82/132.25,46.52512988,120.4708299
0011631B,82/133N,46.5115,120.4523056
0011631A,82/133S,46.51119444,120.4527222
0011449B,82/135N,46.49736077,120.438833
0011449A,82/135S,46.49742744,120.439658
0011366B,82/137N,46.48961077,120.422666
0011366A,82/137S,46.48930522,120.422666
0011366C,82/139,46.47077711,120.396333
00200034,82/139.5C,46.455,120.3659722
00200001,82/140.35,46.45047222,120.3596389
00200008,82/140.55,46.44249966,120.3464719
00200035,82/140.7C,46.41534444,120.3035
0011509A,82/141,46.40330555,120.278666
00200029,82/141.5C,46.398333,120.2616667
0010862A,82/145,46.39161077,120.240833
0010862C,82/147N,46.37544377,120.2187771
0010862B,82/147S,46.37577711,120.2195827
0010862D,82/149,46.36072222,120.2046944
0011788A,82/151,46.35158333,120.188333
0011788C,82/153N,46.34499966,120.176666
0011788B,82/153S,46.34588855,120.1783327
0011788E,82/154N,46.34297188,120.1731104
0011788D,82/154S,46.34199411,120.1705049
0011788H,82/157N,46.33399966,120.1256382
0011788F,82/157S,46.33363855,120.1256382
0011788I,82/161,46.32648822,120.078116
0011788J,82/163,46.31663888,120.0556111
00200004,82/165.25,46.30661111,120.0413886
0011625B,82/165N,46.30722222,120.0423052
0011625A,82/165S,46.30702777,120.0426386
0011772B,82/167N,46.30627777,120.0204993
0011772A,82/167S,46.30594444,120.0204993
0011772D,82/168N,46.30627777,120.0150833
0011772C,82/168S,46.30599444,120.0149972
0011772E,82/170,46.30566666,119.9991108
0011772F,82/172C,46.30591666,119.9905274
0011901C,82/176N,46.287583,119.946833
0011901B,82/176S,46.28736077,119.9471941
0011095B,82/178N,46.27097155,119.9246104
0011095A,82/178S,46.27055488,119.9241382
0011095C,82/180,46.26613888,119.9050833
0011095D,82/181,46.2635,119.8944997
0011095F,82/182N,46.26263888,119.8916941
0011095E,82/182S,46.26250833,119.8919774
0011219A,82/183,46.2555,119.8788882
0008385A,82/1N,46.97077711,120.5108889
0008385B,82/1S,46.97074933,120.5110278
0011219C,82/203N,46.24411077,119.8411941
0011219B,82/203S,46.24388855,119.8414441
0011428B,82/204N,46.23691633,119.8155833
0011428A,82/204S,46.23686077,119.8160833
0011219E,82/207,46.22905488,119.8052222
0010534B,82/209,46.22211044,119.7908608
0008688B,82/20N,46.844583,120.3772493
0008688A,82/20S,46.84391633,120.3778327
0010603A,82/211,46.22100488,119.7685743
0010534C,82/213N,46.21972155,119.7506667
0010534D,82/213S,46.21949933,119.7512222
00200003,82/215.25,46.21917711,119.7504583
0010535B,82/215N,46.21783266,119.7482497
0010535A,82/215S,46.21777711,119.7484441
0010701A,82/216,46.21511111,119.7442774
0010534A,82/217,46.21461111,119.7444997
0013017A,82/240,46.24439966,119.6322049
00200006,82/242.55,46.26369444,119.5726382
0013204A,82/243,46.2642,119.5347136
00200002,82/244.55,46.25901944,119.5103806
0013204B,82/244C,46.26022222,119.5172771
0009444B,82/245N,46.25377777,119.4877497
0009444A,82/245S,46.25338888,119.4870552
0009444D,82/250N,46.25116666,119.4758049
0009444C,82/250S,46.25117222,119.4758077
0012451D,82/255N,46.24388855,119.3618333
0012451C,82/255S,46.24447188,119.3626944
0012463B,82/257N,46.21747155,119.3477497
0012463A,82/257S,46.21724933,119.3480552
0012463D,82/258,46.20122222,119.3286104
0012463C,82/259,46.19741633,119.3023056
00200052,82/259.5C,46.19494411,119.2698882
0008710B,82/25N,46.79974966,120.3589167
0008710A,82/25S,46.80087777,120.3617528
0012463F,82/260N,46.19463855,119.2687493
0012463E,82/260S,46.19436077,119.2689438
0012610B,82/262,46.189083,119.2577778
0012610C,82/263,46.18788855,119.2563333
0012610D,82/265,46.16983266,119.2064167
0012607B,82/268N,46.14213855,119.2018333
0012607A,82/268S,46.14241633,119.20225
0012394A,82/270,46.06241666,119.2240827
0012303B,82/275N,46.02519377,119.2246382
0012303A,82/275S,46.02558266,119.2250549
00200007,82/276.25,45.983333,119.3
0011608B,82/278N,45.94566633,119.335083
0011608A,82/278S,45.945583,119.3354719
0011608D,82/279N,45.93666633,119.3299993
0011608C,82/279S,45.93922188,119.3323882
0012819A,82/280N,45.93499966,119.3299993
000000PD,82/280S,45.93494411,119.3303327
0008385C,82/2S,46.96855488,120.5101111
0008711B,82/30N,46.747083,120.388833
0008711A,82/30S,46.74891633,120.3903052
0008672A,82/5,46.95869444,120.5073333
