structure_id,bridge_no,latitude,longitude,pga
0007741M,5/537W-S,47.5725,122.32,0.449409
0007741S,5/537W-W,47.5715,122.324,0.450872
0007741C,5/538E,47.5742,122.32,0.448652
0007741K,5/538E-N,47.5744,122.319,0.448488
0007741P,5/538S-E,47.5743,122.32,0.44868
0007741Q,5/538S-W,47.5741,122.32,0.448808
0007741I,5/538W-N,47.5738,122.319,0.448695
0007686B,5/539.5,47.5861,122.322,0.442851
0007741E,5/539E,47.5761,122.32,0.447692
0007686C,5/539NCD,47.5888,122.32,0.441096
0007686A,5/539S-W,47.5787,122.319,0.446379
0007686D,5/539SCD,47.5911,122.321,0.440019
0007741D,5/539W,47.5728,122.32,0.44938
0007565A,5/540N-W,47.5909,122.321,0.440047
0007565K,5/540S-W,47.5933,122.322,0.438839
0007565N,5/541S-W,47.5946,122.321,0.438072
0007565F,5/542E,47.5955,122.32,0.437416
0007565M,5/542E-N,47.5946,122.319,0.437711
0007565I,5/542NCD,47.5955,122.32,0.437341
0007565E,5/542S-E,47.5961,122.321,0.437162
0007565J,5/542SCD,47.5955,122.321,0.437516
0007565G,5/542W,47.5955,122.321,0.437452
0007504A,5/543E,47.5981,122.321,0.436074
0007504C,5/543NCD,47.5981,122.32,0.436022
0007504D,5/543SCD,47.5981,122.321,0.436188
0007504B,5/543W,47.5982,122.32,0.435905
0007504E,5/544,47.6017,122.326,0.43491
0007110A,5/545E,47.6042,122.327,0.433924
0007110I,5/545N-E,47.6043,122.327,0.433824
0007110H,5/545N-W,47.6064,122.329,0.433136
0007110F,5/545NCD,47.6043,122.327,0.433865
0007110K,5/545R,47.6041,122.327,0.433971
0007110G,5/545SCD,47.6037,122.327,0.434183
0007110B,5/545W,47.6038,122.327,0.434127
0007110C,5/546,47.6071,122.331,0.433016
0007110L,5/546REN,47.6046,122.33,0.434102
0007110D,5/547,47.6078,122.331,0.432739
0007110J,5/547E-S,47.6077,122.331,0.432798
0007110E,5/548,47.6087,122.331,0.432308
